No,No KK,NIK,Nama Lengkap,Hubungan Keluarga,Jenis Kelamin,Tempat Lahir,Tanggal Lahir,Umur (Tahun),Agama,Status Perkawinan,Partisipasi Sekolah,Pendidikan Tertinggi,Kegiatan Utama,Lapangan Pekerjaan,Estimasi Pendapatan Bulanan (Rp),Jaminan Kesehatan,Disabilitas,Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Alamat Domisili,Status Kepemilikan Bangunan,Luas Lantai (m2),Sumber Air Minum,Daya Listrik,Fasilitas Sanitasi
1,3273010106241001,3273012102630046,Andi Nasution,Kepala Keluarga,Laki-laki,Bandung,21/02/1963,61,Islam,Kawin,Tidak Bersekolah Lagi,Diploma (D1-D3),Bekerja,Wiraswasta / Pedagang,3750000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Sudirman No. 29, RT 001/RW 005",Milik Sendiri,45,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
2,3273010106241001,3273015002620049,Eka Batubara,Istri,Perempuan,Bandung,10/02/1962,62,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,Asuransi Swasta,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Sudirman No. 29, RT 001/RW 005",Milik Sendiri,45,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
3,3273010106241001,3273011303990047,Irfan Nasution,Anak,Laki-laki,Bandung,13/03/1999,25,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Petani / Pekebun,1900000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Sudirman No. 29, RT 001/RW 005",Milik Sendiri,45,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
4,3273010106241001,3273015202190011,Wati Nasution,Anak,Perempuan,Bandung,12/02/2019,5,Islam,Belum Kawin,Masih Sekolah,PAUD / TK,Tidak Bekerja,Belum / Tidak Bekerja,0,Asuransi Swasta,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Sudirman No. 29, RT 001/RW 005",Milik Sendiri,45,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
5,3273010106241001,3273012011200049,Hendra Nasution,Anak,Laki-laki,Bandung,20/11/2020,3,Islam,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Sudirman No. 29, RT 001/RW 005",Milik Sendiri,45,Sumur Terlindung,PLN 450 VA,Jamban Sendiri
6,1271010106241002,1271010502950028,Dwi Harahap,Kepala Keluarga,Laki-laki,Medan,05/02/1995,29,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Wiraswasta / Pedagang,8300000,BPJS Non-PBI / Mandiri,Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Gatot Subroto No. 27, RT 003/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
7,1271010106241002,1271014911940083,Ratna Saputra,Istri,Perempuan,Medan,09/11/1994,29,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Gatot Subroto No. 27, RT 003/RW 006",Milik Sendiri,45,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
8,3578010106241003,3578012910540056,Arif Permana,Kepala Keluarga,Laki-laki,Surabaya,29/10/1954,69,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Pensiunan / Tidak Bekerja,Pensiunan,2500000,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 115, RT 012/RW 010",Milik Sendiri,90,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
9,3578010106241003,3578015711580065,Ayu Wahyudi,Istri,Perempuan,Surabaya,17/11/1958,65,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Pensiunan / Tidak Bekerja,Pensiunan,1500000,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 115, RT 012/RW 010",Milik Sendiri,90,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
10,3578010106241003,3578010504020070,Andi Permana,Anak,Laki-laki,Surabaya,05/04/2002,22,Islam,Belum Kawin,Masih Sekolah,Sarjana (S1/D4),Sekolah,Pelajar / Mahasiswa,0,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 115, RT 012/RW 010",Milik Sendiri,90,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
11,3578010106241003,3578015012980015,Dian Permana,Anak,Perempuan,Surabaya,10/12/1998,25,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Guru / Dosen,6400000,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Pahlawan No. 115, RT 012/RW 010",Milik Sendiri,90,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
12,1371010106241004,1371016002520009,Tia Purnomo,Kepala Keluarga,Perempuan,Padang,20/02/1952,72,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Petani / Pekebun,3650000,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Kenanga No. 105, RT 002/RW 002",Milik Sendiri,200,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
13,1371010106241004,1371012311500028,Jamal Handayani,Suami,Laki-laki,Padang,23/11/1950,73,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Wiraswasta / Pedagang,2500000,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Kenanga No. 105, RT 002/RW 002",Milik Sendiri,200,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
14,1371010106241004,1371011112200025,Budi Purnomo,Anak,Laki-laki,Padang,11/12/2020,3,Islam,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Kenanga No. 105, RT 002/RW 002",Milik Sendiri,200,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
15,1371010106241004,1371013005290046,Fajar Pratama,Orang Tua / Mertua,Laki-laki,Padang,30/05/1929,95,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Pensiunan / Tidak Bekerja,Pensiunan,0,Tidak Memiliki,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Kenanga No. 105, RT 002/RW 002",Milik Sendiri,200,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
16,3273010106241005,3273011304630008,Eko Saputra,Kepala Keluarga,Laki-laki,Bandung,13/04/1963,61,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Bekerja,Pegawai Negeri Sipil (PNS),7100000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Gatot Subroto No. 103, RT 001/RW 007",Sewa / Kontrak,60,Sumur Bor / Pompa,PLN 450 VA,Jamban Sendiri
17,3273010106241005,3273016505600059,Sri Simanjuntak,Istri,Perempuan,Bandung,25/05/1960,64,Islam,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Petani / Pekebun,3450000,BPJS Non-PBI / Mandiri,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Gatot Subroto No. 103, RT 001/RW 007",Sewa / Kontrak,60,Sumur Bor / Pompa,PLN 450 VA,Jamban Sendiri
18,3273010106241005,3273015302080020,Anisa Saputra,Anak,Perempuan,Bandung,13/02/2008,16,Islam,Belum Kawin,Masih Sekolah,SMA / SMK / MA,Sekolah,Pelajar / Mahasiswa,0,Tidak Memiliki,Tidak,Jawa Barat,Kota Bandung,Coblong,Dago,"Jl. Gatot Subroto No. 103, RT 001/RW 007",Sewa / Kontrak,60,Sumur Bor / Pompa,PLN 450 VA,Jamban Sendiri
19,1371010106241006,1371010202940041,Gilang Hidayat,Kepala Keluarga,Laki-laki,Padang,02/02/1994,30,Hindu,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Pengemudi Ojek Online / Transportasi,2550000,Tidak Memiliki,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 96, RT 012/RW 009",Milik Sendiri,36,Sumur Bor / Pompa,PLN 2200 VA+,Jamban Sendiri
20,1371010106241006,1371015508970013,Mega Kusuma,Istri,Perempuan,Padang,15/08/1997,26,Hindu,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,Asuransi Swasta,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 96, RT 012/RW 009",Milik Sendiri,36,Sumur Bor / Pompa,PLN 2200 VA+,Jamban Sendiri
21,1371010106241006,1371015708130009,Andi Tenri Hidayat,Anak,Perempuan,Padang,17/08/2013,10,Hindu,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 96, RT 012/RW 009",Milik Sendiri,36,Sumur Bor / Pompa,PLN 2200 VA+,Jamban Sendiri
22,1371010106241006,1371015802190021,Utami Hidayat,Anak,Perempuan,Padang,18/02/2019,5,Hindu,Belum Kawin,Masih Sekolah,PAUD / TK,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 96, RT 012/RW 009",Milik Sendiri,36,Sumur Bor / Pompa,PLN 2200 VA+,Jamban Sendiri
23,1371010106241006,1371011211690039,Joko Chaniago,Orang Tua / Mertua,Laki-laki,Padang,12/11/1969,54,Hindu,Cerai Mati,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan BUMN,13350000,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Merdeka No. 96, RT 012/RW 009",Milik Sendiri,36,Sumur Bor / Pompa,PLN 2200 VA+,Jamban Sendiri
24,3578010106241007,3578011604950010,Irfan Sinaga,Kepala Keluarga,Laki-laki,Surabaya,16/04/1995,29,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Bekerja,Petani / Pekebun,2100000,BPJS Non-PBI / Mandiri,Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Melati No. 34, RT 015/RW 002",Milik Sendiri,45,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
25,3578010106241007,3578015005960075,Siti Sitorus,Istri,Perempuan,Surabaya,10/05/1996,28,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Melati No. 34, RT 015/RW 002",Milik Sendiri,45,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
26,3578010106241007,3578015910200006,Maya Sinaga,Anak,Perempuan,Surabaya,19/10/2020,3,Islam,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Melati No. 34, RT 015/RW 002",Milik Sendiri,45,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
27,3578010106241007,3578016905150032,Dian Sinaga,Anak,Perempuan,Surabaya,29/05/2015,9,Islam,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Jawa Timur,Kota Surabaya,Gubeng,Airlangga,"Jl. Melati No. 34, RT 015/RW 002",Milik Sendiri,45,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
28,6471010106241008,6471012601560090,Tri Sitorus,Kepala Keluarga,Laki-laki,Balikpapan,26/01/1956,68,Islam,Belum Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Bekerja,Wiraswasta / Pedagang,2450000,Asuransi Swasta,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Garuda No. 96, RT 015/RW 007",Milik Sendiri,60,Air Kemasan / Isi Ulang,PLN 1300 VA,Jamban Sendiri
29,1271010106241009,1271011905770005,Imam Gunawan,Kepala Keluarga,Laki-laki,Medan,19/05/1977,47,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Bekerja,Karyawan Swasta,9750000,Tidak Memiliki,Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Sudirman No. 4, RT 005/RW 004",Milik Sendiri,120,Sumur Terlindung,PLN 2200 VA+,Jamban Sendiri
30,1271010106241009,1271014303780015,Kusuma Sinaga,Istri,Perempuan,Medan,03/03/1978,46,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan Swasta,11800000,Asuransi Swasta,Tidak,Sumatera Utara,Kota Medan,Medan Baru,Padang Bulan,"Jl. Sudirman No. 4, RT 005/RW 004",Milik Sendiri,120,Sumur Terlindung,PLN 2200 VA+,Jamban Sendiri
31,6471010106241010,6471012903630060,Nugroho Susanto,Kepala Keluarga,Laki-laki,Balikpapan,29/03/1963,61,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Petani / Pekebun,2850000,Asuransi Swasta,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Gatot Subroto No. 56, RT 011/RW 004",Milik Sendiri,90,Sumur Bor / Pompa,PLN 450 VA,Jamban Bersama
32,6471010106241010,6471016011610095,Hesti Chaniago,Istri,Perempuan,Balikpapan,20/11/1961,62,Islam,Kawin,Tidak Bersekolah Lagi,SD / Sederajat,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Gatot Subroto No. 56, RT 011/RW 004",Milik Sendiri,90,Sumur Bor / Pompa,PLN 450 VA,Jamban Bersama
33,6471010106241010,6471010701140043,Oki Susanto,Anak,Laki-laki,Balikpapan,07/01/2014,10,Islam,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,Tidak Memiliki,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Gatot Subroto No. 56, RT 011/RW 004",Milik Sendiri,90,Sumur Bor / Pompa,PLN 450 VA,Jamban Bersama
34,6471010106241010,6471015008970031,Widya Susanto,Anak,Perempuan,Balikpapan,10/08/1997,26,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan Swasta,7850000,BPJS PBI (Bantuan Pemerintah),Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Gatot Subroto No. 56, RT 011/RW 004",Milik Sendiri,90,Sumur Bor / Pompa,PLN 450 VA,Jamban Bersama
35,7371010106241011,7371011009530072,Krisna Nugraha,Kepala Keluarga,Laki-laki,Makassar,10/09/1953,70,Islam,Belum Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Wiraswasta / Pedagang,2050000,BPJS Non-PBI / Mandiri,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Kenanga No. 54, RT 010/RW 002",Sewa / Kontrak,60,PAM / Ledeng,PLN 900 VA,Jamban Sendiri
36,6471010106241012,6471011201580041,Nyoman Handayani,Kepala Keluarga,Laki-laki,Balikpapan,12/01/1958,66,Kristen Protestan,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Pensiunan / Tidak Bekerja,Pensiunan,1500000,BPJS Non-PBI / Mandiri,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Kenanga No. 79, RT 010/RW 006",Sewa / Kontrak,200,Mata Air,PLN 900 VA,Jamban Sendiri
37,6471010106241012,6471017101560091,Ratna Handayani,Istri,Perempuan,Balikpapan,31/01/1956,68,Kristen Protestan,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Kenanga No. 79, RT 010/RW 006",Sewa / Kontrak,200,Mata Air,PLN 900 VA,Jamban Sendiri
38,6471010106241012,6471015401160008,Wati Handayani,Anak,Perempuan,Balikpapan,14/01/2016,8,Kristen Protestan,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Kalimantan Timur,Kota Balikpapan,Balikpapan Kota,Klandasan Ulu,"Jl. Kenanga No. 79, RT 010/RW 006",Sewa / Kontrak,200,Mata Air,PLN 900 VA,Jamban Sendiri
39,1371010106241013,1371011905670049,Farhan Harahap,Kepala Keluarga,Laki-laki,Padang,19/05/1967,57,Islam,Kawin,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Wiraswasta / Pedagang,8650000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Garuda No. 49, RT 012/RW 001",Milik Sendiri,90,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
40,1371010106241013,1371014711660097,Gita Wahyudi,Istri,Perempuan,Padang,07/11/1966,57,Islam,Kawin,Tidak Bersekolah Lagi,Sarjana (S1/D4),Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,BPJS Non-PBI / Mandiri,Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Garuda No. 49, RT 012/RW 001",Milik Sendiri,90,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
41,1371010106241013,1371011311930096,Bayu Harahap,Anak,Laki-laki,Padang,13/11/1993,30,Islam,Belum Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Bekerja,Karyawan BUMN,10350000,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Garuda No. 49, RT 012/RW 001",Milik Sendiri,90,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
42,1371010106241013,1371012610020084,Joko Harahap,Anak,Laki-laki,Padang,26/10/2002,21,Islam,Belum Kawin,Masih Sekolah,SMA / SMK / MA,Sekolah,Pelajar / Mahasiswa,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Garuda No. 49, RT 012/RW 001",Milik Sendiri,90,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
43,1371010106241013,1371014805180003,Nita Harahap,Anak,Perempuan,Padang,08/05/2018,6,Islam,Belum Kawin,Masih Sekolah,PAUD / TK,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS PBI (Bantuan Pemerintah),Tidak,Sumatera Barat,Kota Padang,Padang Barat,Flamboyan Baru,"Jl. Garuda No. 49, RT 012/RW 001",Milik Sendiri,90,PAM / Ledeng,PLN 2200 VA+,Jamban Sendiri
44,7371010106241014,7371012512960002,Ilham Lestari,Kepala Keluarga,Laki-laki,Makassar,25/12/1996,27,Islam,Kawin,Tidak Bersekolah Lagi,Diploma (D1-D3),Bekerja,Buruh Harian Lepas,2000000,BPJS PBI (Bantuan Pemerintah),Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Garuda No. 28, RT 011/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
45,7371010106241014,7371015111950059,Indah Saputra,Istri,Perempuan,Makassar,11/11/1995,28,Islam,Kawin,Tidak Bersekolah Lagi,SMA / SMK / MA,Mengurus Rumah Tangga,Mengurus Rumah Tangga,0,Tidak Memiliki,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Garuda No. 28, RT 011/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
46,7371010106241014,7371013012220035,Arif Lestari,Anak,Laki-laki,Makassar,30/12/2022,1,Islam,Belum Kawin,Belum Pernah Sekolah,Tidak / Belum Sekolah,Tidak Bekerja,Belum / Tidak Bekerja,0,Asuransi Swasta,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Garuda No. 28, RT 011/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
47,7371010106241014,7371011708160062,Dwi Lestari,Anak,Laki-laki,Makassar,17/08/2016,7,Islam,Belum Kawin,Masih Sekolah,SD / Sederajat,Tidak Bekerja,Belum / Tidak Bekerja,0,BPJS Non-PBI / Mandiri,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Garuda No. 28, RT 011/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
48,7371010106241014,7371016610680076,Zahra Saputra,Orang Tua / Mertua,Perempuan,Makassar,26/10/1968,55,Islam,Cerai Mati,Tidak Bersekolah Lagi,SMP / Sederajat,Bekerja,Guru / Dosen,4550000,BPJS Non-PBI / Mandiri,Tidak,Sulawesi Selatan,Kota Makassar,Panakkukang,Pannampu,"Jl. Garuda No. 28, RT 011/RW 002",Milik Sendiri,72,PAM / Ledeng,PLN 1300 VA,Jamban Sendiri
